Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-120.204.0.113-47864-80-6,10.215.173.1,47864,120.204.0.113,80,6,12/11/2022 06:05:51 下午,171799,4,5,633.0,376.0,512.0,0.0,158.25,242.63329669826163,376.0,0.0,75.2,168.1523119079842,5873.142451353035,52.38680085448693,21474.875,36874.07682306869,85924.0,44.0,85186.0,28395.333333333332,44549.333466768425,79752.0,165.0,171799.0,42949.75,44118.75513788514,85924.0,3598.0,0,0,0,0,80,128,23.28302260199419,29.103778252492738,0.0,512.0,100.9,187.4841919262054,35150.32222222222,0,1,0,0,0,0,0,0,1.0,112.11111111111111,158.25,75.2,0,0,0,0,0,0,4,633,5,376,-1,1024,2,0,0,0,0,0,0,0,0,0,No Label
221.181.99.30-10.215.173.1-80-40946-6,10.215.173.1,40946,221.181.99.30,80,6,12/11/2022 06:05:51 下午,165398,4,5,633.0,376.0,512.0,0.0,158.25,242.63329669826163,376.0,0.0,75.2,168.1523119079842,6100.436522811643,54.41420089722972,20674.75,37318.63129763163,84255.0,31.0,80564.0,26854.666666666668,44590.97388859469,78335.0,286.0,165398.0,41349.5,45947.47900592589,84255.0,354.0,0,0,0,0,80,128,24.184089287657653,30.230111609572063,0.0,512.0,100.9,187.4841919262054,35150.32222222222,0,1,0,0,0,0,0,0,1.0,112.11111111111111,158.25,75.2,0,0,0,0,0,0,4,633,5,376,-1,1024,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-36.155.182.126-43088-80-6,10.215.173.1,43088,36.155.182.126,80,6,12/11/2022 06:05:51 下午,142392,4,5,633.0,424.0,512.0,0.0,158.25,242.63329669826163,424.0,0.0,84.8,189.61856449198217,7423.169841002304,63.205798078543744,17799.0,32580.130803034805,83712.0,24.0,87797.0,29265.666666666668,47621.09272510799,84222.0,169.0,142392.0,35598.0,40416.36990956346,83712.0,366.0,0,0,0,0,80,128,28.091465812686106,35.114332265857634,0.0,512.0,105.7,195.74248956785604,38315.12222222223,0,1,0,0,0,0,0,0,1.0,117.44444444444444,158.25,84.8,0,0,0,0,0,0,4,633,5,424,-1,1024,2,0,0,0,0,0,0,0,0,0,No Label
183.192.169.40-10.215.173.1-80-39608-6,10.215.173.1,39608,183.192.169.40,80,6,12/11/2022 06:05:52 下午,294274,44,9,25934.0,334.0,5492.0,0.0,589.4090909090909,766.0089961880439,334.0,0.0,37.111111111111114,111.33333333333333,89263.74739188649,180.10425657720356,5659.115384615385,30784.930076736615,209316.0,10.0,215285.0,5006.627906976743,31969.03891492462,209753.0,10.0,294274.0,36784.25,74813.31134755175,209316.0,381.0,0,0,0,0,880,208,149.5205148942822,30.58374168292136,0.0,5492.0,486.44444444444457,724.9003748509997,525480.5534591199,0,1,0,0,0,0,0,0,0.0,495.62264150943395,589.4090909090909,37.111111111111114,0,0,0,0,0,0,44,25934,9,334,-1,1024,42,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.47-37170-80-6,10.215.173.1,37170,117.184.242.47,80,6,12/11/2022 06:05:52 下午,626021,6,7,1827.0,1042.0,512.0,0.0,304.5,250.91492582148237,1042.0,0.0,148.85714285714286,393.83898087561477,4582.913352746952,20.76607653736855,52168.41666666667,161396.01610857595,561624.0,25.0,564412.0,112882.4,251167.47087809758,562183.0,118.0,626021.0,104336.83333333333,225334.7620838087,561624.0,161.0,0,0,0,0,120,168,9.584343017247024,11.18173352012153,0.0,1042.0,204.92857142857142,324.50399174638926,105302.84065934067,0,1,0,0,0,0,0,0,1.0,220.69230769230768,304.5,148.85714285714286,0,0,0,0,0,0,6,1827,7,1042,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.47-37170-80-6,10.215.173.1,37170,117.184.242.47,80,6,12/11/2022 06:05:53 下午,740542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7007246044113633,740542.0,0.0,740542.0,740542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.3503623022056817,1.3503623022056817,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,133,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.102-44048-80-6,10.215.173.1,44048,117.184.242.102,80,6,12/11/2022 06:05:55 下午,652603,5,6,1047.0,572.0,512.0,0.0,209.4,276.3942835877761,572.0,0.0,95.33333333333334,233.51802214532967,2480.8344429921403,16.855576820823686,65260.299999999996,184676.57292806674,588169.0,45.0,590435.0,147608.75,294040.5815896563,588669.0,192.0,652603.0,130520.6,257083.71427474747,588169.0,194.0,0,0,0,0,100,148,7.661625827647129,9.193950993176555,0.0,572.0,134.91666666666669,239.9944917297188,57597.35606060606,0,1,0,0,0,0,0,0,1.0,147.1818181818182,209.4,95.33333333333333,0,0,0,0,0,0,5,1047,6,572,-1,1024,3,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.102-44056-80-6,10.215.173.1,44056,117.184.242.102,80,6,12/11/2022 06:05:56 下午,519892,6,7,1808.0,1698.0,512.0,0.0,301.33333333333337,251.23906278018686,1698.0,0.0,242.57142857142856,641.7836751696678,6743.708308648719,25.005193386318695,43324.333333333336,130430.99025805549,453729.0,32.0,456985.0,91397.0,203338.1803449613,455138.0,102.0,519892.0,86648.66666666666,181447.15806941333,453729.0,119.0,0,0,0,0,120,168,11.540858485993244,13.464334900325452,0.0,1698.0,250.42857142857142,469.50198070946396,220432.1098901099,0,1,0,0,0,0,0,0,1.0,269.6923076923077,301.3333333333333,242.57142857142858,0,0,0,0,0,0,6,1808,7,1698,-1,1024,4,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-36.155.182.57-44632-80-6,10.215.173.1,44632,36.155.182.57,80,6,12/11/2022 06:05:57 下午,165333,11,7,4129.0,312.0,512.0,0.0,375.3636363636364,234.17184831967856,312.0,0.0,44.57142857142857,117.9249155788789,26860.941251897682,108.87118724029685,9725.470588235296,28098.802972986337,105598.0,27.0,109499.0,10949.900000000001,33449.3321555985,106131.0,27.0,165333.0,27555.5,44018.415013491795,105598.0,313.0,0,0,0,0,220,168,66.53239220240363,42.33879503789322,0.0,512.0,233.73684210526318,253.59193864361944,64308.87134502924,0,1,0,0,0,0,0,0,0.0,246.72222222222223,375.3636363636364,44.57142857142857,0,0,0,0,0,0,11,4129,7,312,-1,1024,9,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-36.155.182.57-44636-80-6,10.215.173.1,44636,36.155.182.57,80,6,12/11/2022 06:05:58 下午,176424,11,7,4113.0,312.0,512.0,0.0,373.9090909090909,236.54870726573608,312.0,0.0,44.57142857142857,117.9249155788789,25081.621548088697,102.02693511086927,10377.882352941177,28595.61201015453,88688.0,15.0,92161.0,9216.1,28138.253058978466,89279.0,15.0,176424.0,29404.0,44112.17788774433,88688.0,163.0,0,0,0,0,220,168,62.34979367886456,39.67714143200472,0.0,512.0,232.89473684210526,254.32107762888194,64679.210526315794,0,1,0,0,0,0,0,0,0.0,245.83333333333334,373.90909090909093,44.57142857142857,0,0,0,0,0,0,11,4113,7,312,-1,1024,9,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.102-44074-80-6,10.215.173.1,44074,117.184.242.102,80,6,12/11/2022 06:05:59 下午,732881,7,7,2119.0,637.0,512.0,0.0,302.7142857142857,262.0958566922379,637.0,0.0,91.0,240.76336930687776,3760.5013637957595,19.10269197864319,56375.46153846153,179123.50267465154,648516.0,25.0,656535.0,109422.5,264376.161340428,649066.0,47.0,732881.0,122146.83333333333,259550.93429877431,648516.0,308.0,0,0,0,0,140,168,9.551345989321595,9.551345989321595,0.0,637.0,183.73333333333335,260.9073362234916,68072.6380952381,0,1,0,0,0,0,0,0,1.0,196.85714285714286,302.7142857142857,91.0,0,0,0,0,0,0,7,2119,7,637,-1,1024,5,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-117.184.242.102-44078-80-6,10.215.173.1,44078,117.184.242.102,80,6,12/11/2022 06:06:00 下午,158043,4,5,907.0,348.0,512.0,0.0,226.75,266.1495506915864,348.0,0.0,69.6,155.63033123398537,7940.8768499712105,56.94652721094892,19755.375,36682.629033907666,97959.0,114.0,100119.0,33373.0,56274.84652133669,98348.0,147.0,158043.0,39510.75,45828.24141200125,97959.0,2073.0,0,0,0,0,80,128,25.309567649310633,31.63695956163829,0.0,512.0,125.50000000000001,205.95859886017007,42418.944444444445,0,1,0,0,0,0,0,0,1.0,139.44444444444446,226.75,69.6,0,0,0,0,0,0,4,907,5,348,-1,1024,2,0,0,0,0,0,0,0,0,0,No Label
