Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-116.211.207.84-46906-8081-6,10.215.173.1,46906,116.211.207.84,8081,6,06/11/2022 04:28:18 下午,38549,4,5,1522.0,122.0,1036.0,0.0,380.5,493.4136195931361,122.0,0.0,24.4,54.56005865099487,42647.020674985084,233.46909128641468,4818.625,8474.69872936917,19288.0,12.0,19158.0,6386.0,10062.979081763015,17992.0,94.0,38549.0,9637.25,10290.670965329067,19288.0,134.0,0,0,0,0,80,128,103.76404057173987,129.70505071467483,0.0,1036.0,164.39999999999998,342.2316304623067,117122.48888888888,0,1,0,0,0,0,0,0,1.0,182.66666666666666,380.5,24.4,0,0,0,0,0,0,4,1522,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-116.211.207.84-46914-8081-6,10.215.173.1,46914,116.211.207.84,8081,6,06/11/2022 04:28:18 下午,44919,4,5,1362.0,122.0,1036.0,0.0,340.5,488.4707428973271,122.0,0.0,24.4,54.56005865099487,33037.24481845099,200.3606491685033,5614.875,9756.577890069857,24114.0,51.0,20415.0,6805.0,10648.592911741907,19091.0,234.0,44919.0,11229.75,11787.195549267291,24114.0,454.0,0,0,0,0,80,128,89.04917740822368,111.31147176027962,0.0,1036.0,148.4,329.01036795551323,108247.82222222221,0,1,0,0,0,0,0,0,1.0,164.88888888888889,340.5,24.4,0,0,0,0,0,0,4,1362,5,122,-1,8192,2,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.91.22.57-40960-80-6,10.215.173.1,40960,101.91.22.57,80,6,06/11/2022 04:28:19 下午,41035,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.47776288534178,13678.333333333332,20064.181875504753,36765.0,454.0,3816.0,3816.0,0.0,3816.0,3816.0,36765.0,36765.0,0.0,36765.0,36765.0,0,0,0,0,40,68,48.73888144267089,48.73888144267089,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.91.22.57-40960-80-6,101.91.22.57,80,10.215.173.1,40960,6,06/11/2022 04:28:19 下午,30220,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.18133686300463,30220.0,0.0,30220.0,30220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33.090668431502316,33.090668431502316,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-119.29.29.29-41412-80-6,10.215.173.1,41412,119.29.29.29,80,6,06/11/2022 04:28:19 下午,78002,4,4,164.0,145.0,164.0,0.0,41.0,82.0,145.0,0.0,36.25,72.5,3961.4368862336864,102.56147278274916,11143.142857142857,18302.08957495083,40837.0,27.0,36941.0,12313.666666666668,20342.759825877445,35795.0,27.0,77286.0,25762.0,21081.436739463465,40837.0,1672.0,0,0,0,0,80,108,51.28073639137458,51.28073639137458,0.0,164.0,34.333333333333336,68.2934843158555,4664.0,0,1,0,0,0,0,0,0,1.0,38.625,41.0,36.25,0,0,0,0,0,0,4,164,4,145,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-119.29.29.29-41414-80-6,10.215.173.1,41414,119.29.29.29,80,6,06/11/2022 04:28:19 下午,73992,4,4,164.0,145.0,164.0,0.0,41.0,82.0,145.0,0.0,36.25,72.5,4176.12714888096,108.11979673478214,10570.285714285716,17212.513294250843,36753.0,120.0,37119.0,12373.0,19955.710485973683,35408.0,334.0,73163.0,24387.666666666668,19697.287258232627,36753.0,1673.0,0,0,0,0,80,108,54.05989836739107,54.05989836739107,0.0,164.0,34.333333333333336,68.2934843158555,4664.0,0,1,0,0,0,0,0,0,1.0,38.625,41.0,36.25,0,0,0,0,0,0,4,164,4,145,-1,8192,1,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-119.29.29.29-41412-80-6,119.29.29.29,80,10.215.173.1,41412,6,06/11/2022 04:28:19 下午,478,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4184.100418410042,478.0,0.0,478.0,478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2092.050209205021,2092.050209205021,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-119.29.29.29-41414-80-6,119.29.29.29,80,10.215.173.1,41414,6,06/11/2022 04:28:19 下午,273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7326.007326007325,273.0,0.0,273.0,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3663.0036630036625,3663.0036630036625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.91.22.57-40972-80-6,10.215.173.1,40972,101.91.22.57,80,6,06/11/2022 04:28:19 下午,41172,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1534052268532,13724.0,21454.884082651202,38463.0,215.0,2494.0,2494.0,0.0,2494.0,2494.0,38463.0,38463.0,0.0,38463.0,38463.0,0,0,0,0,40,68,48.5767026134266,48.5767026134266,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8192,0,0,0,0,0,0,0,0,0,0,No Label
10.215.173.1-101.91.22.57-40972-80-6,101.91.22.57,80,10.215.173.1,40972,6,06/11/2022 04:28:19 下午,31840,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.814070351758794,31840.0,0.0,31840.0,31840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,31.407035175879397,31.407035175879397,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,8191,0,0,0,0,0,0,0,0,0,0,No Label
